CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000035,IND002,ICP 11432,JM 3715,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,Alamdanga on Kushtia road,23.68,89.379997,,,,70,19790311,,,300,,21,,,,,,,12;13,,8fab1c93-790b-4536-a676-5b0b9c0bf9e7,,,
10001000035,IND002,ICP 7490,ANM 142,IND002,,,ICRISAT-MISN-006,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19750615,IND,Janakpur; Ambikapur,23.7,81.779998,,,,,19750201,,,300,,21,,,,,,,12;13,,b686e83f-b7ad-4939-a23b-c2ee47216431,,,
10001000035,IND002,ICP 8962,LJR 75,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Bhandu; Mehsana,23.7,72.36,,,,,19780301,,,300,,21,,,,,,,12;13,,e3cfe88c-af15-4710-bd94-55771ac1651c,,,
10001000035,IND002,ICP 7397,ANM 67,IND002,,,ICRISAT-MISN-006,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19750615,IND,Pendari; Bastar district,23.75,83.150001,,,,,19750201,,,300,,21,,,,,,,12;13,,4c5483d6-c4ab-4322-968d-fe4165e45dc3,,,
10001000035,IND002,ICP 11428,JM 3700,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,"Meherpur, Kushtia",23.77,88.639999,,,,50,19790311,,,300,,21,,,,,,,12;13,,9e102c85-2cb7-4a35-acd1-aca9502732ed,,,
10001000035,IND002,ICP 8026,ANM 386,IND002,,,ICRISAT-MISN-016,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19760615,IND,Mohuda; Dhanbad district,23.79,86.43,,,,,19760323,,,300,,21,,,,,,,12;13,,c2b5227f-7a21-4a54-8152-43ad6cd24a77,,,
10001000035,IND002,ICP 11426,JM 3693,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,"28E of Katlamari, Meherpur, Kushtia",23.799999,88.900001,,,,50,19790311,,,300,,21,,,,,,,12;13,,aeeed464-1b6c-4c5c-bf05-1e8646aa8f53,,,
10001000035,IND002,ICP 7487,ANM 139,IND002,,,ICRISAT-MISN-006,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19750615,IND,Ramanujgunj; Ambikapur,23.799999,83.699996,,,,,19750201,,,300,,21,,,,,,,12;13,,de5fe117-c158-41b3-821f-9d205df9ace4,,,
10001000035,IND002,ICP 11429,JM 3702,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,Rajnagar 9E Meherpur,23.809999,88.720001,,,,50,19790311,,,300,,21,,,,,,,12;13,,41caba16-e7d3-457b-bd07-518cbebc2fc3,,,
10001000035,IND002,ICP 11427,JM 3696,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,21E of Beymondi; Meherpur,23.819999,88.839996,,,,50,19790311,,,300,,21,,,,,,,12;13,,ca6b4f18-93d3-46e6-9487-df7c4da9245d,,,
10001000035,IND002,ICP 11430,JM 3706,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,12E of Kulpala ca; Meherpur,23.819999,88.75,,,,50,19790311,,,300,,21,,,,,,,12;13,,5b5bf848-ed85-46e9-8b1a-ff4e2f8e7ee0,,,
10001000035,IND002,ICP 7042,DSLR 62,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Katni; Jabalpur,23.819999,80.389999,,,,,19740409,,,300,,21,,,,,,,12;13,,57e7b15c-590a-44ef-881c-059ab9424bd9,,,
10001000035,IND002,ICP 7043,DSLR 63,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Katni; Jabalpur,23.819999,80.389999,,,,,19740409,,,300,,21,,,,,,,12;13,,f1ba0bdd-956a-4270-8e2f-56be739ba128,,,
10001000035,IND002,ICP 7044,DSLR 64,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Katni; Jabalpur,23.819999,80.389999,,,,,19740409,,,300,,21,,,,,,,12;13,,3b06d707-71e1-4181-a839-0370557359fe,,,
10001000035,IND002,ICP 7045,DSLR 65,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Katni; Jabalpur,23.819999,80.389999,,,,,19740410,,,300,,21,,,,,,,12;13,,5b8bf04d-4e0a-4def-be61-76147ca88a15,,,
10001000035,IND002,ICP 14032,RSB 137,IND002,,,ICRISAT-MISN-133,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19870716,IND,Korasa; Damoh,23.84,79.150001,,,,420,19860313,,,300,,21,,,,,,,12;13,,f5a60b60-413a-47c8-947e-52caeedfef37,,,
