CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000051,NGA039,TDa-4054,95-27,,,,,Dioscorea,alata,,,,yam,,,GHA,"ATEBUBU, TRIP",7.7554,-0.9808,,,,252,19950101,,,300,,,,,,,,,13;30,,5bece1de-1fb7-4550-9995-b4290eae563f,,http://my.iita.org/accession2/accession/TDa-4054,
10001000051,NGA039,TDa-4137,K008Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Kenema,7.87667,-11.1875,,,,178,,,,300,,,,,,,,,13;30,,93d95209-cb7a-4370-814f-4cb2e9d290dc,,http://my.iita.org/accession2/accession/TDa-4137,
10001000051,NGA039,TDa-4138,K007Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Kenema,7.87667,-11.1875,,,,178,,,,300,,,,,,,,,13;30,,1b2c00e2-aae6-465f-9634-904cbeada60b,,http://my.iita.org/accession2/accession/TDa-4138,
10001000051,NGA039,TDa-4144,K009Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Hangha,7.94,-11.14,,,,82,,,,300,,,,,,,,,13;30,,1385bcd9-3dec-473c-8e20-f062a15c3779,,http://my.iita.org/accession2/accession/TDa-4144,
10001000051,NGA039,TDa-4042,,,,,,Dioscorea,alata,,,,yam,,,NGA,"KAMPANI ZONGO/AYA IGABI LGA, KDNA, STATE",8,-2,,,,508,,,,300,,,,,,,,,13;30,,b3bf1d32-f6fa-4762-a9fd-d694f43e5572,,http://my.iita.org/accession2/accession/TDa-4042,
10001000051,NGA039,TDa-4131,B019Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Mandu,8,-2,,,,121,,,,300,,,,,,,,,13;30,,539c3d8f-dd80-494c-b85b-516904dc64e8,,http://my.iita.org/accession2/accession/TDa-4131,
10001000051,NGA039,TDa-3943,IN94R-084,,,,,Dioscorea,alata,,,,yam,,,BEN,ZOU,8.0200005,2.1700001,,,,200,,,,300,,,,,,,,,13;30,,97db8f51-0d3a-4524-8c0e-27b9f441da10,,http://my.iita.org/accession2/accession/TDa-3943,
10001000051,NGA039,TDa-3911,NG 95/010,,,,,Dioscorea,alata,,,,yam,,,NGA,OGBOMOSO,8.0299997,4.1300001,,,,4,19950101,,,300,,,,,,,,,13;30,,6bce8d54-70eb-4b5f-8826-230c5ebfe87d,,http://my.iita.org/accession2/accession/TDa-3911,
10001000051,NGA039,TDa-3913,NG 95/007,,,,,Dioscorea,alata,,,,yam,,,NGA,OGBOMOSO,8.0299997,4.1300001,,,,252,19950101,,,300,,,,,,,,,13;30,,53a92f37-b273-4938-a46b-9285af6c77f8,,http://my.iita.org/accession2/accession/TDa-3913,
10001000051,NGA039,TDa-3920,NG 95/010,,,,,Dioscorea,alata,,,,yam,,,NGA,,8.0299997,4.1300001,,,,4,19950101,,,300,,,,,,,,,13;30,,7cbde468-217c-4fb4-b5b0-cba9166ac257,,http://my.iita.org/accession2/accession/TDa-3920,
